 Frequency	Gain
600.00000	 0.00412
611.00000	 0.29794
621.00000	 0.34666
632.00000	 0.43079
642.00000	 0.62374
653.00000	 1.05256
663.00000	 1.46666
674.00000	 0.93661
684.00000	 0.54218
695.00000	 0.38238
705.00000	 0.29790
716.00000	 0.25367
726.00000	 0.22590
737.00000	 0.21182
747.00000	 0.20628
758.00000	 0.20927
768.00000	 0.22320
779.00000	 0.24885
789.00000	 0.30091
800.00000	 0.39433
